Unique;Site;Depth;Years_Since_Last_bleaching;DHW_Last_Bleaching_year;Bleaching_events_since_2015;Sum_DHWs_since_2015
1;GAMGAM1;6;2;3.2;2;11.2
2;GAMGAM1;20;2;3.2;2;11.2
3;GAMGAM1;40;2;3.2;2;11.2
4;GAMGAM1;60;2;3.2;2;11.2
5;GAMGAM1;90;2;3.2;2;11.2
6;GAMGAM1;120;2;3.2;2;11.2
7;GAMGAM2;6;2;2.2;2;10.4
8;GAMGAM2;20;2;2.2;2;10.4
9;GAMGAM2;40;2;2.2;2;10.4
10;GAMGAM2;60;2;2.2;2;10.4
11;GAMGAM2;90;2;2.2;2;10.4
12;GAMGAM2;120;2;2.2;2;10.4
13;SOCBOR1;6;3;3.9;1;3.9
14;SOCBOR1;20;3;3.9;1;3.9
15;SOCBOR1;40;3;3.9;1;3.9
16;SOCBOR1;60;3;3.9;1;3.9
17;SOCBOR1;90;3;3.9;1;3.9
18;SOCBOR1;120;3;3.9;1;3.9
19;SOCBOR2;6;3;3.9;1;3.9
20;SOCBOR2;20;3;3.9;1;3.9
21;SOCBOR2;40;3;3.9;1;3.9
22;SOCBOR2;60;3;3.9;1;3.9
23;SOCBOR2;90;3;3.9;1;3.9
24;SOCBOR2;120;3;3.9;1;3.9
25;SOCMOO1;6;3;1.1;1;1.1
26;SOCMOO1;20;3;1.1;1;1.1
27;SOCMOO1;40;3;1.1;1;1.1
28;SOCMOO1;60;3;1.1;1;1.1
29;SOCMOO1;90;3;1.1;1;1.1
30;SOCMOO1;120;3;1.1;1;1.1
31;SOCMOO2;6;3;1;1;1
32;SOCMOO2;20;3;1;1;1
33;SOCMOO2;40;3;1;1;1
34;SOCMOO2;60;3;1;1;1
35;SOCMOO2;90;3;1;1;1
36;SOCMOO2;120;3;1;1;1
37;SOCTAH1;6;1;3.3;1;3.3
38;SOCTAH1;20;1;3.3;1;3.3
39;SOCTAH1;40;1;3.3;1;3.3
40;SOCTAH1;60;1;3.3;1;3.3
41;SOCTAH1;90;1;3.3;1;3.3
42;SOCTAH1;120;1;3.3;1;3.3
43;SOCTAH2;6;1;3.4;2;4.4
44;SOCTAH2;20;1;3.4;2;4.4
45;SOCTAH2;40;1;3.4;2;4.4
46;SOCTAH2;60;1;3.4;2;4.4
47;SOCTAH2;90;1;3.4;2;4.4
48;SOCTAH2;120;1;3.4;2;4.4
49;TUAMAK1;6;1;1.2;2;4.4
50;TUAMAK1;20;1;1.2;2;4.4
51;TUAMAK1;40;1;1.2;2;4.4
52;TUAMAK1;60;1;1.2;2;4.4
53;TUAMAK1;90;1;1.2;2;4.4
54;TUAMAK1;120;1;1.2;2;4.4
55;TUAMAK2;6;1;1.2;2;4.4
56;TUAMAK2;20;1;1.2;2;4.4
57;TUAMAK2;40;1;1.2;2;4.4
58;TUAMAK2;60;1;1.2;2;4.4
59;TUAMAK2;90;1;1.2;2;4.4
60;TUAMAK2;120;1;1.2;2;4.4
61;TUARAN1;6;3;5.4;1;5.4
62;TUARAN1;20;3;5.4;1;5.4
63;TUARAN1;40;3;5.4;1;5.4
64;TUARAN1;60;3;5.4;1;5.4
65;TUARAN1;90;3;5.4;1;5.4
66;TUARAN1;120;3;5.4;1;5.4
67;TUARAN2;6;3;5.4;1;5.4
68;TUARAN2;20;3;5.4;1;5.4
69;TUARAN2;40;3;5.4;1;5.4
70;TUARAN2;60;3;5.4;1;5.4
71;TUARAN2;90;3;5.4;1;5.4
72;TUARAN2;120;3;5.4;1;5.4
73;TUARAR1;6;3;6.8;1;6.8
74;TUARAR1;20;3;6.8;1;6.8
75;TUARAR1;40;3;6.8;1;6.8
76;TUARAR1;60;3;6.8;1;6.8
77;TUARAR1;90;3;6.8;1;6.8
78;TUARAR1;120;3;6.8;1;6.8
79;TUARAR2;6;3;6.8;1;6.8
80;TUARAR2;20;3;6.8;1;6.8
81;TUARAR2;40;3;6.8;1;6.8
82;TUARAR2;60;3;6.8;1;6.8
83;TUARAR2;90;3;6.8;1;6.8
84;TUARAR2;120;3;6.8;1;6.8
85;TUATIK1;6;3;5.6;1;5.6
86;TUATIK1;20;3;5.6;1;5.6
87;TUATIK1;40;3;5.6;1;5.6
88;TUATIK1;60;3;5.6;1;5.6
89;TUATIK1;90;3;5.6;1;5.6
90;TUATIK1;120;3;5.6;1;5.6
91;TUATIK2;6;3;5.6;1;5.6
92;TUATIK2;20;3;5.6;1;5.6
93;TUATIK2;40;3;5.6;1;5.6
94;TUATIK2;60;3;5.6;1;5.6
95;TUATIK2;90;3;5.6;1;5.6
96;TUATIK2;120;3;5.6;1;5.6