"","Depth","Island_Island_Site","Cover","Mean","Sd","Cover_se","Diff"
"1",120,"Bora_1",0.133,5.01214285714286,11.4161431283398,3.05109259033008,-4.87914285714286
"2",120,"Gambier_1",15.9526666666667,5.01214285714286,11.4161431283398,3.05109259033008,10.9405238095238
"3",120,"Makatea_1",3.28866666666667,5.01214285714286,11.4161431283398,3.05109259033008,-1.72347619047619
"4",120,"Rangiroa_1",0.0443333333333333,5.01214285714286,11.4161431283398,3.05109259033008,-4.96780952380952
"5",120,"Raroia_1",2.88833333333333,5.01214285714286,11.4161431283398,3.05109259033008,-2.12380952380952
"6",120,"Tahiti_1",0.133333333333333,5.01214285714286,11.4161431283398,3.05109259033008,-4.87880952380952
"7",120,"Tikehau_1",0.0443333333333333,5.01214285714286,11.4161431283398,3.05109259033008,-4.96780952380952
"8",120,"Bora_2",1.15466666666667,5.01214285714286,11.4161431283398,3.05109259033008,-3.85747619047619
"9",120,"Gambier_2",42.0006666666667,5.01214285714286,11.4161431283398,3.05109259033008,36.9885238095238
"10",120,"Makatea_2",1.82133333333333,5.01214285714286,11.4161431283398,3.05109259033008,-3.19080952380952
"11",120,"Moorea_2",0.311,5.01214285714286,11.4161431283398,3.05109259033008,-4.70114285714286
"12",120,"Rangiroa_2",1.82066666666667,5.01214285714286,11.4161431283398,3.05109259033008,-3.19147619047619
"13",120,"Raroia_2",0.310666666666667,5.01214285714286,11.4161431283398,3.05109259033008,-4.70147619047619
"14",120,"Tikehau_2",0.266333333333333,5.01214285714286,11.4161431283398,3.05109259033008,-4.74580952380952
"15",20,"Bora_1",46.1303333333333,41.6356041666667,15.1728166472362,3.79320416180905,4.49472916666667
"16",20,"Gambier_1",22.174,41.6356041666667,15.1728166472362,3.79320416180905,-19.4616041666667
"17",20,"Makatea_1",60.2193333333333,41.6356041666667,15.1728166472362,3.79320416180905,18.5837291666667
"18",20,"Moorea_1",27.0193333333333,41.6356041666667,15.1728166472362,3.79320416180905,-14.6162708333333
"19",20,"Rangiroa_1",11.107,41.6356041666667,15.1728166472362,3.79320416180905,-30.5286041666667
"20",20,"Raroia_1",55.2423333333333,41.6356041666667,15.1728166472362,3.79320416180905,13.6067291666667
"21",20,"Tahiti_1",58.751,41.6356041666667,15.1728166472362,3.79320416180905,17.1153958333333
"22",20,"Tikehau_1",32.087,41.6356041666667,15.1728166472362,3.79320416180905,-9.54860416666666
"23",20,"Bora_2",35.063,41.6356041666667,15.1728166472362,3.79320416180905,-6.57260416666667
"24",20,"Gambier_2",43.5516666666667,41.6356041666667,15.1728166472362,3.79320416180905,1.9160625
"25",20,"Makatea_2",66.9316666666667,41.6356041666667,15.1728166472362,3.79320416180905,25.2960625
"26",20,"Moorea_2",38.038,41.6356041666667,15.1728166472362,3.79320416180905,-3.59760416666667
"27",20,"Rangiroa_2",42.8843333333333,41.6356041666667,15.1728166472362,3.79320416180905,1.24872916666667
"28",20,"Raroia_2",56.0883333333333,41.6356041666667,15.1728166472362,3.79320416180905,14.4527291666667
"29",20,"Tahiti_2",37.3293333333333,41.6356041666667,15.1728166472362,3.79320416180905,-4.30627083333334
"30",20,"Tikehau_2",33.553,41.6356041666667,15.1728166472362,3.79320416180905,-8.08260416666666
"31",40,"Bora_1",6.75466666666667,37.8002083333333,19.755011246048,4.93875281151199,-31.0455416666667
"32",40,"Gambier_1",20.576,37.8002083333333,19.755011246048,4.93875281151199,-17.2242083333333
"33",40,"Makatea_1",46.8866666666667,37.8002083333333,19.755011246048,4.93875281151199,9.08645833333333
"34",40,"Moorea_1",27.3293333333333,37.8002083333333,19.755011246048,4.93875281151199,-10.470875
"35",40,"Rangiroa_1",45.1536666666667,37.8002083333333,19.755011246048,4.93875281151199,7.35345833333334
"36",40,"Raroia_1",81.8656666666667,37.8002083333333,19.755011246048,4.93875281151199,44.0654583333333
"37",40,"Tahiti_1",32.576,37.8002083333333,19.755011246048,4.93875281151199,-5.22420833333333
"38",40,"Tikehau_1",29.952,37.8002083333333,19.755011246048,4.93875281151199,-7.84820833333333
"39",40,"Bora_2",53.5953333333333,37.8002083333333,19.755011246048,4.93875281151199,15.795125
"40",40,"Gambier_2",43.4636666666667,37.8002083333333,19.755011246048,4.93875281151199,5.66345833333334
"41",40,"Makatea_2",45.5063333333333,37.8002083333333,19.755011246048,4.93875281151199,7.70612500000001
"42",40,"Moorea_2",2.84266666666667,37.8002083333333,19.755011246048,4.93875281151199,-34.9575416666667
"43",40,"Rangiroa_2",26.0853333333333,37.8002083333333,19.755011246048,4.93875281151199,-11.714875
"44",40,"Raroia_2",57.9556666666667,37.8002083333333,19.755011246048,4.93875281151199,20.1554583333333
"45",40,"Tahiti_2",32.8423333333333,37.8002083333333,19.755011246048,4.93875281151199,-4.95787499999999
"46",40,"Tikehau_2",51.418,37.8002083333333,19.755011246048,4.93875281151199,13.6177916666667
"47",6,"Bora_1",34.0886666666667,40.8342916666667,17.3754566076427,4.34386415191067,-6.745625
"48",6,"Gambier_1",10.888,40.8342916666667,17.3754566076427,4.34386415191067,-29.9462916666667
"49",6,"Makatea_1",60.3546666666667,40.8342916666667,17.3754566076427,4.34386415191067,19.520375
"50",6,"Moorea_1",65.9083333333333,40.8342916666667,17.3754566076427,4.34386415191067,25.0740416666667
"51",6,"Rangiroa_1",17.9106666666667,40.8342916666667,17.3754566076427,4.34386415191067,-22.923625
"52",6,"Raroia_1",41.1983333333333,40.8342916666667,17.3754566076427,4.34386415191067,0.364041666666672
"53",6,"Tahiti_1",57.7756666666667,40.8342916666667,17.3754566076427,4.34386415191067,16.941375
"54",6,"Tikehau_1",45.0643333333333,40.8342916666667,17.3754566076427,4.34386415191067,4.23004166666666
"55",6,"Bora_2",53.4663333333333,40.8342916666667,17.3754566076427,4.34386415191067,12.6320416666667
"56",6,"Gambier_2",39.1533333333333,40.8342916666667,17.3754566076427,4.34386415191067,-1.68095833333333
"57",6,"Makatea_2",55.242,40.8342916666667,17.3754566076427,4.34386415191067,14.4077083333333
"58",6,"Moorea_2",58.399,40.8342916666667,17.3754566076427,4.34386415191067,17.5647083333333
"59",6,"Rangiroa_2",17.0646666666667,40.8342916666667,17.3754566076427,4.34386415191067,-23.769625
"60",6,"Raroia_2",18.6656666666667,40.8342916666667,17.3754566076427,4.34386415191067,-22.168625
"61",6,"Tahiti_2",37.508,40.8342916666667,17.3754566076427,4.34386415191067,-3.32629166666667
"62",6,"Tikehau_2",40.661,40.8342916666667,17.3754566076427,4.34386415191067,-0.173291666666671
"63",60,"Bora_1",64.7086666666667,34.3578125,23.1069569722639,5.77673924306598,30.3508541666667
"64",60,"Gambier_1",35.7746666666667,34.3578125,23.1069569722639,5.77673924306598,1.41685416666667
"65",60,"Makatea_1",67.1096666666667,34.3578125,23.1069569722639,5.77673924306598,32.7518541666667
"66",60,"Moorea_1",6.219,34.3578125,23.1069569722639,5.77673924306598,-28.1388125
"67",60,"Rangiroa_1",21.9516666666667,34.3578125,23.1069569722639,5.77673924306598,-12.4061458333333
"68",60,"Raroia_1",43.596,34.3578125,23.1069569722639,5.77673924306598,9.2381875
"69",60,"Tahiti_1",11.995,34.3578125,23.1069569722639,5.77673924306598,-22.3628125
"70",60,"Tikehau_1",32.397,34.3578125,23.1069569722639,5.77673924306598,-1.9608125
"71",60,"Bora_2",68.2616666666667,34.3578125,23.1069569722639,5.77673924306598,33.9038541666667
"72",60,"Gambier_2",9.37433333333333,34.3578125,23.1069569722639,5.77673924306598,-24.9834791666667
"73",60,"Makatea_2",74.486,34.3578125,23.1069569722639,5.77673924306598,40.1281875
"74",60,"Moorea_2",15.3273333333333,34.3578125,23.1069569722639,5.77673924306598,-19.0304791666667
"75",60,"Rangiroa_2",35.7733333333333,34.3578125,23.1069569722639,5.77673924306598,1.41552083333333
"76",60,"Raroia_2",18.486,34.3578125,23.1069569722639,5.77673924306598,-15.8718125
"77",60,"Tahiti_2",12.6666666666667,34.3578125,23.1069569722639,5.77673924306598,-21.6911458333333
"78",60,"Tikehau_2",31.598,34.3578125,23.1069569722639,5.77673924306598,-2.7598125
"79",90,"Bora_1",0.754,12.0738125,14.9313576778283,3.73283941945706,-11.3198125
"80",90,"Gambier_1",11.554,12.0738125,14.9313576778283,3.73283941945706,-0.5198125
"81",90,"Makatea_1",35.3763333333333,12.0738125,14.9313576778283,3.73283941945706,23.3025208333333
"82",90,"Moorea_1",3.55433333333333,12.0738125,14.9313576778283,3.73283941945706,-8.51947916666667
"83",90,"Rangiroa_1",3.421,12.0738125,14.9313576778283,3.73283941945706,-8.6528125
"84",90,"Raroia_1",14.042,12.0738125,14.9313576778283,3.73283941945706,1.9681875
"85",90,"Tahiti_1",3.06733333333333,12.0738125,14.9313576778283,3.73283941945706,-9.00647916666667
"86",90,"Tikehau_1",0.533333333333333,12.0738125,14.9313576778283,3.73283941945706,-11.5404791666667
"87",90,"Bora_2",9.909,12.0738125,14.9313576778283,3.73283941945706,-2.1648125
"88",90,"Gambier_2",52.8873333333333,12.0738125,14.9313576778283,3.73283941945706,40.8135208333333
"89",90,"Makatea_2",30.5776666666667,12.0738125,14.9313576778283,3.73283941945706,18.5038541666667
"90",90,"Moorea_2",1.55433333333333,12.0738125,14.9313576778283,3.73283941945706,-10.5194791666667
"91",90,"Rangiroa_2",6.709,12.0738125,14.9313576778283,3.73283941945706,-5.3648125
"92",90,"Raroia_2",9.06533333333333,12.0738125,14.9313576778283,3.73283941945706,-3.00847916666667
"93",90,"Tahiti_2",0.177666666666667,12.0738125,14.9313576778283,3.73283941945706,-11.8961458333333
"94",90,"Tikehau_2",9.99833333333333,12.0738125,14.9313576778283,3.73283941945706,-2.07547916666667
